Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Demo/ManualModeDemo,Chrome 120.0.0.0,,,09-04-2024 11:59:54,09-04-2024 12:00:17,22.800s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,09-04-2024 11:59:54,09-04-2024 11:59:57,2.695s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,09-04-2024 11:59:57,09-04-2024 12:00:11,14.283s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,09-04-2024 12:00:11,09-04-2024 12:00:12,1.312s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,09-04-2024 12:00:12,09-04-2024 12:00:13,0.332s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,09-04-2024 12:00:13,09-04-2024 12:00:14,1.724s,PASSED
"verifyTextPresent(""manda"", false)",Chrome 120.0.0.0,,,09-04-2024 12:00:14,09-04-2024 12:00:17,2.360s,FAILED
,,,,,,,
Test Cases/Demo/ScriptModeDemo,Chrome 120.0.0.0,,,09-04-2024 12:00:17,09-04-2024 12:01:06,49.404s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,09-04-2024 12:00:17,09-04-2024 12:00:21,3.846s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,09-04-2024 12:00:21,09-04-2024 12:00:43,22.363s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,09-04-2024 12:00:43,09-04-2024 12:00:45,2.174s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,09-04-2024 12:00:45,09-04-2024 12:00:45,0.352s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,09-04-2024 12:00:45,09-04-2024 12:01:03,17.129s,PASSED
"verifyTextPresent(""EhotjpFbwd"", false)",Chrome 120.0.0.0,,,09-04-2024 12:01:03,09-04-2024 12:01:06,3.459s,FAILED
